task_id,dataset_source,gpt-4.1-mini__contract_first,gpt-4.1-mini__direct_baseline,gpt-4.1-mini__failure_mode_first,gpt-4.1-mini__multi_view,gpt-4.1-mini__pattern_skeleton,gpt-4.1-mini__role_decomposed,gpt-4.1-mini__semantic_diff,gpt-4.1-mini__simulation_trace,gpt-4.1-nano__contract_first,gpt-4.1-nano__direct_baseline,gpt-4.1-nano__failure_mode_first,gpt-4.1-nano__multi_view,gpt-4.1-nano__pattern_skeleton,gpt-4.1-nano__role_decomposed,gpt-4.1-nano__semantic_diff,gpt-4.1-nano__simulation_trace
cc_braindecode_maxnorm_shadow,braindecode_braindecode,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
cc_braindecode_mixup_scalar_shadow,braindecode_braindecode,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cc_braindecode_mixup_weight_trap,braindecode_braindecode,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cc_braindecode_temporal_front_window,braindecode_braindecode,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cc_braindecode_temporal_mask_misorder,braindecode_braindecode,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
cc_simtrade_cache_clear_incomplete,simtradedata_kay_ou,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cc_simtrade_cache_delete_incomplete,simtradedata_kay_ou,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cc_simtrade_cache_lru_trap,simtradedata_kay_ou,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cc_simtrade_cache_ttl_dual,simtradedata_kay_ou,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
cc_simtrade_router_skip_primary,simtradedata_kay_ou,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
