task_id,strategy,model,provider,pass_rate,passed
cc_braindecode_maxnorm_shadow,contract_first,plan-runner,ollama,0.0,0
cc_braindecode_maxnorm_shadow,direct_baseline,plan-runner,ollama,0.0,0
cc_braindecode_maxnorm_shadow,multi_view,plan-runner,ollama,0.0,0
cc_braindecode_maxnorm_shadow,semantic_diff,plan-runner,ollama,0.0,0
cc_braindecode_mixup_scalar_shadow,contract_first,plan-runner,ollama,0.0,0
cc_braindecode_mixup_scalar_shadow,direct_baseline,plan-runner,ollama,0.0,0
cc_braindecode_mixup_scalar_shadow,multi_view,plan-runner,ollama,0.0,0
cc_braindecode_mixup_scalar_shadow,semantic_diff,plan-runner,ollama,0.0,0
cc_braindecode_mixup_weight_trap,contract_first,plan-runner,ollama,0.0,0
cc_braindecode_mixup_weight_trap,direct_baseline,plan-runner,ollama,0.0,0
cc_braindecode_mixup_weight_trap,multi_view,plan-runner,ollama,0.0,0
cc_braindecode_mixup_weight_trap,semantic_diff,plan-runner,ollama,0.0,0
cc_braindecode_temporal_front_window,contract_first,plan-runner,ollama,0.0,0
cc_braindecode_temporal_front_window,direct_baseline,plan-runner,ollama,0.0,0
cc_braindecode_temporal_front_window,multi_view,plan-runner,ollama,0.0,0
cc_braindecode_temporal_front_window,semantic_diff,plan-runner,ollama,0.0,0
cc_braindecode_temporal_mask_misorder,contract_first,plan-runner,ollama,0.0,0
cc_braindecode_temporal_mask_misorder,direct_baseline,plan-runner,ollama,0.0,0
cc_braindecode_temporal_mask_misorder,multi_view,plan-runner,ollama,0.0,0
cc_braindecode_temporal_mask_misorder,semantic_diff,plan-runner,ollama,0.0,0
cc_simtrade_cache_clear_incomplete,contract_first,plan-runner,ollama,0.0,0
cc_simtrade_cache_clear_incomplete,direct_baseline,plan-runner,ollama,0.0,0
cc_simtrade_cache_clear_incomplete,multi_view,plan-runner,ollama,0.0,0
cc_simtrade_cache_clear_incomplete,semantic_diff,plan-runner,ollama,0.0,0
cc_simtrade_cache_delete_incomplete,contract_first,plan-runner,ollama,0.0,0
cc_simtrade_cache_delete_incomplete,direct_baseline,plan-runner,ollama,0.0,0
cc_simtrade_cache_delete_incomplete,multi_view,plan-runner,ollama,0.0,0
cc_simtrade_cache_delete_incomplete,semantic_diff,plan-runner,ollama,0.0,0
cc_simtrade_cache_lru_trap,contract_first,plan-runner,ollama,0.0,0
cc_simtrade_cache_lru_trap,direct_baseline,plan-runner,ollama,0.0,0
cc_simtrade_cache_lru_trap,multi_view,plan-runner,ollama,0.0,0
cc_simtrade_cache_lru_trap,semantic_diff,plan-runner,ollama,0.0,0
cc_simtrade_cache_ttl_dual,contract_first,plan-runner,ollama,0.0,0
cc_simtrade_cache_ttl_dual,direct_baseline,plan-runner,ollama,0.0,0
cc_simtrade_cache_ttl_dual,semantic_diff,plan-runner,ollama,0.0,0
cc_tc_template_component_shadow,contract_first,plan-runner,ollama,0.0,0
cc_tc_template_component_shadow,direct_baseline,plan-runner,ollama,0.0,0
cc_tc_template_component_shadow,multi_view,plan-runner,ollama,0.0,0
cc_tc_template_component_shadow,semantic_diff,plan-runner,ollama,0.0,0
cc_tc_template_component_status_shadow_v2,contract_first,plan-runner,ollama,0.0,0
cc_tc_template_component_status_shadow_v2,direct_baseline,plan-runner,ollama,0.0,0
cc_tc_template_component_status_shadow_v2,multi_view,plan-runner,ollama,0.0,0
cc_tc_template_component_status_shadow_v2,semantic_diff,plan-runner,ollama,0.0,0
cc_tc_template_detail_languages_shadow,contract_first,plan-runner,ollama,0.0,0
cc_tc_template_detail_languages_shadow,direct_baseline,plan-runner,ollama,0.0,0
cc_tc_template_detail_languages_shadow,multi_view,plan-runner,ollama,0.0,0
cc_tc_template_detail_languages_shadow,semantic_diff,plan-runner,ollama,0.0,0
cc_tc_template_detail_maxpoints_shadow,contract_first,plan-runner,ollama,0.0,0
cc_tc_template_detail_maxpoints_shadow,direct_baseline,plan-runner,ollama,0.0,0
cc_tc_template_detail_maxpoints_shadow,multi_view,plan-runner,ollama,0.0,0
cc_tc_template_detail_maxpoints_shadow,semantic_diff,plan-runner,ollama,0.0,0
cc_tc_template_difficulty_case_trap,contract_first,plan-runner,ollama,0.0,0
cc_tc_template_difficulty_case_trap,direct_baseline,plan-runner,ollama,0.0,0
cc_tc_template_difficulty_case_trap,multi_view,plan-runner,ollama,0.0,0
cc_tc_template_difficulty_case_trap,semantic_diff,plan-runner,ollama,0.0,0
cc_tc_template_include_flag_split,contract_first,plan-runner,ollama,0.0,0
cc_tc_template_include_flag_split,direct_baseline,plan-runner,ollama,0.0,0
cc_tc_template_include_flag_split,multi_view,plan-runner,ollama,0.0,0
cc_tc_template_include_flag_split,semantic_diff,plan-runner,ollama,0.0,0
cc_tc_template_include_flag_split_v2,contract_first,plan-runner,ollama,0.0,0
