model,strategy,pass_rate,passes,runs
gpt-4.1-mini,contract_first,0.2916666666666667,7,24
gpt-4.1-mini,direct_baseline,0.25,6,24
gpt-4.1-mini,failure_mode_first,0.20833333333333334,5,24
gpt-4.1-mini,multi_view,0.25,6,24
gpt-4.1-mini,pattern_skeleton,0.20833333333333334,5,24
gpt-4.1-mini,role_decomposed,0.20833333333333334,5,24
gpt-4.1-mini,semantic_diff,0.25,6,24
gpt-4.1-mini,simulation_trace,0.25,6,24
gpt-4.1-nano,contract_first,0.125,3,24
gpt-4.1-nano,direct_baseline,0.08333333333333333,2,24
gpt-4.1-nano,failure_mode_first,0.125,3,24
gpt-4.1-nano,multi_view,0.08333333333333333,2,24
gpt-4.1-nano,pattern_skeleton,0.20833333333333334,5,24
gpt-4.1-nano,role_decomposed,0.125,3,24
gpt-4.1-nano,semantic_diff,0.125,3,24
gpt-4.1-nano,simulation_trace,0.08333333333333333,2,24
